Experiment	Lead-Time	Skill	ID	Policy	Rule Curve Wet Multiplier	Rule Curve Confident Wet Multiplier	Rule Curve Dry Multiplier	Rule Curve Wet Power	Rule Curve Dry Power	Rule Curve Threshold	Rule Curve Wet Adjustment	Rule Curve Dry Adjustment	Rule Curve Low Level Threshold	Rule Curve Low Level Flow Adjustment	Long Forecast Wet Threshold	Long Forecast Dry Threshold	Long Forecast 50% Confidence Interval	Long Forecast 99% Confidence Interval	Coastal Impacts: Upstream Buildings Impacted (#)	Coastal Impacts: Downstream Buildings Impacted (#)	Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)	Hydropower: Moses-Saunders + Niagara Energy Value ($)	Meadow Marsh: Area (ha)	Recreational Boating: Impact Costs ($)
12-month Status Quo (AR)	12-month	Status Quo (AR)	0	1	365.93323878210856	68.02981261302787	35.70027149207626	1.5703171869152173	1.64205676058097	5582.996809738658	1678.9611218681243	1116.2899361499794	129.15886983433208	34.48677054583912	7198.001144986923	6282.087529854522	73.58595978403534	269.57941532271354	37984.924949579836	2770.168067226891	194242069.19327733	-2231253420.372414	-11921.779196428572	42810918.512016796
12-month Status Quo (AR)	12-month	Status Quo (AR)	1	1	174.83810164778296	135.0327099293616	40.90467024979849	0.6524654753950745	0.7427492535190539	6100.17431633087	1834.202772418142	1699.9901975529126	123.27960817973928	27.0351384580994	7791.476328859155	3504.857345381653	50.95101589763698	158.3005483421477	38079.30978991597	2718.4789915966385	192088746.99159664	-2234775238.054009	-9087.180232142857	29971392.67655462
12-month Status Quo (AR)	12-month	Status Quo (AR)	2	1	240.79988946574738	73.14452833579561	15.0	1.3083256187809926	0.2732412777756104	5692.728092882791	1809.297951193381	2071.9245261815404	100.71878342224954	8.050754550623418	6515.749827569233	5531.815845570302	53.9118360857356	318.0306590357705	48831.48303361344	2726.151260504201	191214092.6302521	-2238764936.443707	-12030.495985714288	28952476.082605045
12-month Status Quo (AR)	12-month	Status Quo (AR)	3	1	378.037923977285	65.37156764815326	60.80703401840456	1.3260443826002015	0.7226896762573082	6060.286758615623	1939.2679183422006	990.1611130755521	75.12938416702097	33.46381303655357	7360.90588440976	5453.219592762905	14.333957710973568	49.299994375248616	60230.35994117648	2821.3697478991603	193216625.95798317	-2235922331.9648123	-13395.175057142857	32794119.39201681
12-month Status Quo (AR)	12-month	Status Quo (AR)	4	1	187.09342806515613	182.57775458482988	33.76262597779616	1.3717841668392643	1.0066828573178248	6150.012249771289	1745.0442621823374	605.3216075845579	86.51797105916019	21.584846928510775	8175.5763517921	4686.2946656799295	75.25191542568841	183.8061907801273	43519.838277310926	2742.596638655463	193129291.22689077	-2238384610.7616568	-9870.687471428571	22000992.98428572
12-month Status Quo (AR)	12-month	Status Quo (AR)	5	1	177.8870872402495	237.82860038281459	89.00657770550032	0.35317873857756465	0.5833945265816046	5897.897197154404	1430.8595774914324	1360.550414391919	118.01798736727396	34.68670008042758	8387.798087277475	10115.284274625152	87.5	200.4577314098912	29904.646327731094	2737.394957983193	195157964.44537812	-2229740882.8308306	-8735.689057142856	41780069.62806723
12-month Status Quo (AR)	12-month	Status Quo (AR)	6	1	382.7510086471309	136.64365379058705	33.953231500388505	1.0174087399249916	1.7479230097546232	6067.744474948938	2083.838584971952	1266.5479320536422	75.05142890382432	11.747233419338052	6542.355201230762	3779.3635778235634	63.167654891886656	323.6819373501237	42806.594840336154	2731.2268907563025	192169717.18487397	-2236838124.545967	-11235.806899999998	29391090.67756303
12-month Status Quo (AR)	12-month	Status Quo (AR)	7	1	354.8090244549813	73.14452833579561	15.0	1.5699802508926508	0.2732412777756104	5692.728092882791	1809.297951193381	2071.9245261815404	55.36382347452776	26.44149407182221	6515.749827569233	5531.815845570302	53.9118360857356	318.0306590357705	45853.771420168065	2741.705882352941	191788090.00840336	-2237159909.776504	-12049.368710714285	31107701.92268908
12-month Status Quo (AR)	12-month	Status Quo (AR)	8	1	383.42799585010164	78.6254668009483	72.65698216237985	1.3260443826002015	0.8329833615659277	6060.286758615623	2475.094107546341	1119.1313715503995	75.12938416702097	33.46381303655357	7361.7822470163155	5455.483398715447	56.7379155160182	47.5873444897429	65468.054907563026	2789.983193277311	191852181.68067223	-2239067776.8744035	-12844.353882142856	26356236.8989916
12-month Status Quo (AR)	12-month	Status Quo (AR)	9	1	204.5547765802397	68.89986507615414	40.894424467322985	1.0908589659887398	0.2817684123931076	5940.8535214043995	1908.3765764899122	341.08690584464625	105.35980508491123	34.97468443658656	6835.953983939121	9258.002579056529	58.76306647639551	148.44331599215812	99150.59289915963	2905.1932773109247	190959149.8907563	-2243436671.005282	-13279.770803571428	24163355.538403355
