Experiment	Lead-Time	Skill	ID	Policy	Rule Curve Wet Multiplier	Rule Curve Confident Wet Multiplier	Rule Curve Dry Multiplier	Rule Curve Wet Power	Rule Curve Dry Power	Rule Curve Threshold	Rule Curve Wet Adjustment	Rule Curve Dry Adjustment	Rule Curve Low Level Threshold	Rule Curve Low Level Flow Adjustment	Long Forecast Wet Threshold	Long Forecast Dry Threshold	Long Forecast 50% Confidence Interval	Long Forecast 99% Confidence Interval	Coastal Impacts: Upstream Buildings Impacted (#)	Coastal Impacts: Downstream Buildings Impacted (#)	Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)	Hydropower: Moses-Saunders + Niagara Energy Value ($)	Meadow Marsh: Area (ha)	Recreational Boating: Impact Costs ($)
3-month Perfect	3-month	Perfect	0	1	148.9607374170751	73.28713427660355	49.01941361351818	0.2315206051009932	0.7767913430080857	6974.033205245383	2664.04126766683	2175.4957783780746	75.0528545525072	29.682923173489453	12397.683907277187	4948.256660989307	72.67813353606937	152.04660897492482	65109.01450420168	2763.6302521008397	190649875.55462185	-2237661530.2307577	-10747.624360714284	17522598.378403362
3-month Perfect	3-month	Perfect	1	1	149.21252773005625	71.12572646394379	22.099202337135047	0.4861633348856877	1.5204402186973007	5649.801381101433	2658.941899622045	1176.6124219108556	74.83038121813634	34.580050376328074	8619.659886698018	7710.051101461286	40.34534288410588	168.85857008654057	42244.20089075629	2731.2352941176473	191234866.6470588	-2232006811.3188725	-10584.119146428571	26703821.00176471
3-month Perfect	3-month	Perfect	2	1	100.46347764864932	65.69022923823836	28.191653358536893	0.2309637480335438	0.8336086323223484	5713.1214300260535	2301.286706473396	1352.7111833923739	74.96377351161688	34.63539140929316	7874.10125845028	6479.165254438671	72.36712564233446	166.2153054244861	55918.6802184874	2738.3361344537816	190329152.1092437	-2235670604.669716	-11239.575125	23816685.737815127
3-month Perfect	3-month	Perfect	3	1	141.67693712541046	76.88887670842244	68.06819157619272	0.8035905739578796	1.5435281110599353	5929.40987153784	2605.7724214142168	2032.3258735975744	74.98397030670941	34.108048293594955	8656.82368773182	8786.233723749403	72.34935931531655	165.94967970127814	54305.54231932773	2738.008403361345	190606841.94117647	-2237128985.5320992	-10152.671325	19578816.08680672
3-month Perfect	3-month	Perfect	4	1	141.86302614128482	71.16038301742	20.04761522054849	0.8157345253886189	1.1546543097334738	5913.723700319771	2651.865802017238	1927.9139744176584	75.0520416049618	34.173082128827694	8786.31171136093	7214.404087549738	32.835174313097575	157.7551328791703	56511.8701932773	2746.7815126050423	190548928.59663865	-2237390704.9396443	-10770.32495	19552887.938487392
3-month Perfect	3-month	Perfect	5	1	175.72285078414203	80.14969010734292	99.89847949083872	0.34535005886853243	1.0594450192887257	5407.614070580671	2654.595652143745	984.0160908999617	75.31942309675664	34.24727959837781	8863.546790397155	7036.04492532995	66.20648924089434	106.43737751110164	35151.59601680672	2761.378151260504	192193030.39495802	-2226894084.4799414	-10536.56862142857	36540403.88546219
3-month Perfect	3-month	Perfect	6	1	145.74675001186174	73.68585190795189	61.197577062670234	0.5648207445413205	1.0904676079029063	5605.942359122652	2594.3876034735767	1132.8176692052084	74.74223234664488	34.4176597815473	8863.924770134796	6611.85097393076	70.95453005125918	175.3461156858699	40456.93878991596	2725.0420168067226	191160412.42016807	-2231454799.348356	-9867.386042857144	26666525.113361344
3-month Perfect	3-month	Perfect	7	1	143.5020572509605	73.44843779588923	45.59124528444168	0.8126308304330365	1.2447086824276474	5056.571011020933	2676.4915863930787	1532.9918906151995	105.14031703311329	24.620619755624414	9034.134687610307	7743.442317252608	71.56302899498952	81.38224583212056	38009.198294117654	2719.2268907563025	191073317.06722692	-2230006056.222979	-9213.697107142858	30196113.758823536
3-month Perfect	3-month	Perfect	8	1	117.37862469537487	66.05569462464048	104.57807510104205	0.25558369528514396	0.3498299411249176	5154.591464525638	2662.886162745333	548.4594176011169	74.73311476568932	34.6112974687257	8079.581103377957	9427.8063129336	48.601840983924504	174.90226565419846	43227.89962184874	2737.3865546218485	191241089.7647059	-2230883627.9725533	-11577.201685714286	30711316.934369747
3-month Perfect	3-month	Perfect	9	1	140.127363794942	66.36088803059995	103.36124843564787	0.2449967975399545	0.8214501086853576	4974.328981897279	2662.8887825610404	870.0037896106012	74.9774504751914	34.611609831761776	8766.433135580262	7680.176442046244	23.125527971014552	172.50372372176642	37726.6278487395	2756.2773109243703	192100783.40336132	-2228243383.8534245	-11196.97109285714	34906122.8492437
